Nume	Prenume	Instanta
CIMPOERU	DANIELA	JudecatoriaPANCIU
OPREA (GALU)	DANIELA	JudecatoriaPANCIU
STOICA	MIHAI FLORIN	JudecatoriaPANCIU
STOICIU	NICULINA	JudecatoriaPANCIU
COJAN	DENISA - MIHAELA	JudecatoriaADJUD
COMĂNESCU	CARMEN	JudecatoriaADJUD
CRISTIAN	MIRCEA - VLAD	JudecatoriaADJUD
ROŞCA	VALERIU	JudecatoriaADJUD
ANDRONIC	ADRIANA-ELENA	CurteadeApelIASI
ANGELESCU	CRISTIANA	CurteadeApelIASI
ANTON	DAN	CurteadeApelIASI
BANCU	CARMEN	CurteadeApelIASI
CHEPTENE MICU	DIANA MIHAELA	CurteadeApelIASI
CHIRILĂ	MIHAELA	CurteadeApelIASI
CIOBANU	IULIA ELENA	CurteadeApelIASI
COCOR	MONICA LILIANA	CurteadeApelIASI
CORMANENCU-STANCIU	VALERIA	CurteadeApelIASI
DUBLEA	AUREL	CurteadeApelIASI
DUMITRESCU	DANIELA	CurteadeApelIASI
GHEORGHE	AURELIA	CurteadeApelIASI
GHEORGHIU	ELENA	CurteadeApelIASI
GHIDEANU	ANCA	CurteadeApelIASI
JUVERDEANU	TATIANA	CurteadeApelIASI
MORUZI	NELIDA-CRISTINA	CurteadeApelIASI
OBREJA MANOLACHE	ANCUŢA GABRIELA	CurteadeApelIASI
OBREJA-MANOLACHE	NELU-IUSTINIAN	CurteadeApelIASI
OLARIU	VIORICA	CurteadeApelIASI
PALIHOVICI	LILIANA	CurteadeApelIASI
PAVELESCU	GEORGETA	CurteadeApelIASI
PINTE	VIOLETA ELENA	CurteadeApelIASI
PIPERNEA	SMARANDA	CurteadeApelIASI
POIANA	CIPRIANA MIHAELA	CurteadeApelIASI
POPA	MARIA CRISTINA	CurteadeApelIASI
PROTEA	GEORGETA	CurteadeApelIASI
PRUTEANU	DANIELA	CurteadeApelIASI
SANDU	GETA	CurteadeApelIASI
SCRIMINŢI	ELENA	CurteadeApelIASI
STOINEL	ADRIANA CARMEN	CurteadeApelIASI
SUSANU	CLAUDIA ANTOANELA	CurteadeApelIASI
ŞERBĂNESCU	DRAGOŞ RADU GABRIEL	CurteadeApelIASI
TABALTOC	DAN MIRCEA	CurteadeApelIASI
TACU	FLORIN MARIUS	CurteadeApelIASI
TARLION	CONSTANTIN GABRIEL	CurteadeApelIASI
TRUŢESCU	CRISTINA	CurteadeApelIASI
ACHIROAEI	CATALINA ELENA	TribunalulIASI
ADAM	OANA CRISTINA	TribunalulIASI
ALEXANDRU	MITICA	TribunalulIASI
AMANCEI	DANIELA	TribunalulIASI
ANDREI	FLORIN ALEXANDRU	TribunalulIASI
ANTON	MIRELA	TribunalulIASI
AROTĂRIŢEI	IULIA-LOREDANA	TribunalulIASI
ARTENIE	ALEXANDRU DAN GABRIEL	TribunalulIASI
BARBIR	CLARA ROXANA	TribunalulIASI
BOTEZ (CAPATA )	CARMEN BEATRIS	TribunalulIASI
CARDONEANU	MARIA-ELIZA	TribunalulIASI
CAZACIUC	CALINA ELENA	TribunalulIASI
CAŞCAVAL	ALICE-MIHAELA	TribunalulIASI
CIOPRAGA	MANUELA	TribunalulIASI
CONACHI	SONICA	TribunalulIASI
CORUGĂ BUTUCĂ	MIHAELA	TribunalulIASI
COSINSCHI	ADRIANA RAMONA	TribunalulIASI
CULEA	GABRIELA	TribunalulIASI
DASCALU	CARMEN	TribunalulIASI
DĂNILĂ	IULIAN	TribunalulIASI
DIACONARU	IULIA	TribunalulIASI
DIACONARU	PETRUŞ CIPRIAN	TribunalulIASI
DIUŢĂ-TOMA	ANA MARIA	TribunalulIASI
GRĂDINARU	BRÂNDUŞA DANIELA	TribunalulIASI
FILIPEANU 	ELENA CRIZANTEMA	TribunalulIASI
FILIPESCU	SILVIA	TribunalulIASI
HARATU	MIHAELA-DANA	TribunalulIASI
IONESCU	CAMELIA - MIHAELA	TribunalulIASI
IOVU	DANIELA	TribunalulIASI
LABUS	ANA CRISTINA	TribunalulIASI
LACUSTA	OANA MONICA	TribunalulIASI
LAZAR	NICOLETA	TribunalulIASI
LUCA	SOFIA	TribunalulIASI
MATEI	MIHAELA	TribunalulIASI
MATEICIUC	MONICA	TribunalulIASI
MIHU	MIHAELA	TribunalulIASI
MIRĂUŢĂ 	DANIEL	TribunalulIASI
MOCANU	MARCEL	TribunalulIASI
PAVEL	ELENA	TribunalulIASI
PREDA	ELENA CRISTINA	TribunalulIASI
PRELIPCEAN	ALINA GIANINA	TribunalulIASI
RADU	CRISTINA	TribunalulIASI
SAMOIL	MARIA	TribunalulIASI
SAVA	CORNELIA CORINA	TribunalulIASI
SIDOR	MIHAELA	TribunalulIASI
SIMA	CRISTINA	TribunalulIASI
ŞTEFĂNIŢĂ	NICOLETA	TribunalulIASI
STOICA	NARCIS- VIOLIN	TribunalulIASI
STRATAN 	MARIA CRISTINA	TribunalulIASI
TARLION	LORENA	TribunalulIASI
TARLION	ŞTEFAN	TribunalulIASI
TATARUSANU	DOINITA	TribunalulIASI
TIMOFTE	ELENA PETRONELA	TribunalulIASI
TODERICĂ	CAMELIA	TribunalulIASI
TRANDAFIR	ANCA MIHAELA	TribunalulIASI
TRIFAN	ANDREEA NICOLETA	TribunalulIASI
VASILIU CRAVELOS	RICA	TribunalulIASI
ZAHARIA	LENUTA- NICOLETA	TribunalulIASI
ACRÎSMARITEI	CAMELIA ALEXANDRINA	JudecatoriaIASI
ADOMNIŢEI	SABINA DANIELA	JudecatoriaIASI
AIONESEI	MARILENA	JudecatoriaIASI
ALEXANDRESCU	ELENA LOREDANA	JudecatoriaIASI
BEJAN	CLAUDIA DANIELA	JudecatoriaIASI
BUICEAG	MIHAELA	JudecatoriaIASI
BULIGA	TATIANA	JudecatoriaIASI
BUTNARU	ELENA CLAUDIA	JudecatoriaIASI
CAZACU	CERASELA MADALINA	JudecatoriaIASI
CIOCOI	IULIAN	JudecatoriaIASI
CODREANU	ALINA	JudecatoriaIASI
COLIBABA 	ANCA DENISA	JudecatoriaIASI
COLIPCA	FLORIN	JudecatoriaIASI
CRĂINICEANU	CRISTIAN - MARIUS	JudecatoriaIASI
CRIŞU - CIOCÎNTĂ	ANDA	JudecatoriaIASI
CURCĂ	MARIA ŞTEFANIA LORENA	JudecatoriaIASI
CUZIC	MARICICA DANIELA	JudecatoriaIASI
DASCĂLU	CRINA ELENA	JudecatoriaIASI
FALCAN	DANIELA MARIA	JudecatoriaIASI
FRANGOPOL	RALUCA MELANIA	JudecatoriaIASI
GAFTA	GEORGETA LACRAMIOARA	JudecatoriaIASI
GHERCA	ROMULUS EUGEN	JudecatoriaIASI
GRADINARIU	IOAN	JudecatoriaIASI
GURBAN	TUDOR	JudecatoriaIASI
HATMANU	LAURA	JudecatoriaIASI
HURJUI	OANA CRISTINA	JudecatoriaIASI
IGNAT	OANA IRINA	JudecatoriaIASI
ILIEŞ	ANA	JudecatoriaIASI
IONIŢĂ	IRINA	JudecatoriaIASI
MACOVEI	ALINA CORNELIA	JudecatoriaIASI
MACOVEI - FOCŞA	SÎNZIANA ELENA	JudecatoriaIASI
MANDACHE	CLAUDIA	JudecatoriaIASI
MOCANU	GEORGIANA CLAUDIA	JudecatoriaIASI
MORARU	MARIUS ANDREI	JudecatoriaIASI
MUNTEANU	IULIA LAVINIA	JudecatoriaIASI
NISTOR	MIHAELA	JudecatoriaIASI
OBREJA	MARIANA	JudecatoriaIASI
PASCARU	VALENTINA ŞTEFANA	JudecatoriaIASI
PLATON	DIANA	JudecatoriaIASI
POPA	ŞTEFAN ANDREI	JudecatoriaIASI
RUSU 	IRINA CORNELIA	JudecatoriaIASI
SAVU	ALINA FELICIA	JudecatoriaIASI
SHANNAK	ANDREEA TEODORA	JudecatoriaIASI
STĂNCULEANU	MARIA GABRIELA	JudecatoriaIASI
ŞTEFĂNESCU	BEATRICE	JudecatoriaIASI
TARLION 	MIHAELA GETA	JudecatoriaIASI
TESCU	IULIANA	JudecatoriaIASI
TIRLEA	IRINA	JudecatoriaIASI
UNGUREANU	ALINA	JudecatoriaIASI
UNGUREANU	CRISTIAN	JudecatoriaIASI
VARVARA	VERONICA CORINA	JudecatoriaIASI
VILCU	CRISTINA GEORGIANA	JudecatoriaIASI
ZAHARIA	IRINA	JudecatoriaIASI
ZAHARIA LEFTER	MARIA OANA	JudecatoriaIASI
ZAHARIA LUPU	FLORIN MIRCEA	JudecatoriaIASI
BABII	VASILE	JudecatoriaPASCANI
CASUNEANU	CONSTANTIN	JudecatoriaPASCANI
CHERECHEŞ	OANA ADELINA	JudecatoriaPASCANI
CHISCA	IULIAN	JudecatoriaPASCANI
CHITIC	IONELA	JudecatoriaPASCANI
COJOCARU	PETRONELA ROXANA	JudecatoriaPASCANI
COSTEA	ANCA NATALIA	JudecatoriaPASCANI
PRISĂCARU	NICOLAE EDUARD	JudecatoriaPASCANI
SERBANESCU	IRINA	JudecatoriaPASCANI
SAVA	MAGDALENA - RALUCA	JudecatoriaPASCANI
STAVARACHE	ANDREIA IRINA	JudecatoriaPASCANI
CHIRIAC	DANIEL	JudecatoriaHARLAU
GHIAŢĂ	ANA - MARIA	JudecatoriaHARLAU
MIHĂILĂ	OANA	JudecatoriaHARLAU
PRISTAVU	CODRIN MIREL	JudecatoriaHARLAU
VARVARA	LUMINIŢA	JudecatoriaHARLAU
AMARIEI	MARIA CLAUDIA	JudecatoriaRADUCANENI
BUIUM	MIRELA GABRIELA	JudecatoriaRADUCANENI
COLIN	MARIANA CORINA	JudecatoriaRADUCANENI
GHERCĂ	DANIELA ELENA	JudecatoriaRADUCANENI
GRIGORAŞ	RALUCA MARIA	JudecatoriaRADUCANENI
AGAFITEI	VASILE	TribunalulVASLUI
AIONIŢOAIE	ELENA GABRIELA	TribunalulVASLUI
ANDRIEŞ	CARMEN	TribunalulVASLUI
BĂLAN 	LAURA MONICA	TribunalulVASLUI
CHIRIAC 	ADRIAN	TribunalulVASLUI
CIOARĂ	MĂDĂLINA	TribunalulVASLUI
FILIP	GABRIELA	TribunalulVASLUI
FILIP	ANA MARIA	TribunalulVASLUI
FOCA	ELENA	TribunalulVASLUI
ISEPCIUC	ELENA RALUCA	TribunalulVASLUI
MANOLE	DANIELA- MIHAELA	TribunalulVASLUI
OANĂ	RADU NICOLAE	TribunalulVASLUI
PASCARU	IOLANDA-MIHAELA	TribunalulVASLUI
SIMIONESCU	ELENA	TribunalulVASLUI
SIRGHI	DIANA-ELENA	TribunalulVASLUI
BRAŞOVEAN	MARINA	JudecatoriaVASLUI
BUDESCU	CORNELIA	JudecatoriaVASLUI
CODINĂ	OANA	JudecatoriaVASLUI
COJAN	ONUŢ	JudecatoriaVASLUI
COJOCARU	ALEXANDRA CRISTINA	JudecatoriaVASLUI
DUMITRIU	ELENA MIRELA	JudecatoriaVASLUI
EŢCU	CORINA	JudecatoriaVASLUI
GHINTUIALA	MIHAELA	JudecatoriaVASLUI
MANTA GRAPĂ	DIANA EUGENIA	JudecatoriaVASLUI
MĂGUREANU	EMANUELA DOINA	JudecatoriaVASLUI
MOLDOVAN	GEORGINA	JudecatoriaVASLUI
MUNTEANU	LETIZIA	JudecatoriaVASLUI
NICOLAU	GABRIELA	JudecatoriaVASLUI
PARVU	CRISTINA	JudecatoriaVASLUI
ROMILA	MIHAELA ROXANA	JudecatoriaVASLUI
STATIVĂ	LUMINIŢA COSMINA	JudecatoriaVASLUI
VEZETEU	CORNELIA	JudecatoriaVASLUI
AIONITOAIE	VERONEL	JudecatoriaBARLAD
BERARU	GINA	JudecatoriaBARLAD
BURLIBASA	NECULAI	JudecatoriaBARLAD
CATRINICI	DIANA	JudecatoriaBARLAD
DARIE	CĂTĂLINA	JudecatoriaBARLAD
ENACHE	GABRIELA	JudecatoriaBARLAD
ISAC	RADITA	JudecatoriaBARLAD
JUGLAN	DANIELA ELENA	JudecatoriaBARLAD
RĂDULESCU	CĂTĂLINA	JudecatoriaBARLAD
ROTARIU	MUGURICA-GABRIELA	JudecatoriaBARLAD
ROTARU	MIHAI	JudecatoriaBARLAD
TELETIN	IULIANA	JudecatoriaBARLAD
ADAM	CORINA	JudecatoriaHUSI
ALEXANDRU	ADINA	JudecatoriaHUSI
ANTOHI	IULIA CRISTINA	JudecatoriaHUSI
BLESNEAG	IULIA	JudecatoriaHUSI
CIOBOTARU	DIANA	JudecatoriaHUSI
TOLONTAN	CORNELIU	JudecatoriaHUSI
ANTIK	LEVENTE FARKAS	CurteadeApelORADEA
BAICAN	LAURA-SIMONA	CurteadeApelORADEA
BALTARETE	SAVINA	CurteadeApelORADEA
BLAGA VASILAN	OVIDIU DANIEL	CurteadeApelORADEA
BLAGA VASILAN	RODICA GABRIELA	CurteadeApelORADEA
CIGAN	DANA MARGARETA	CurteadeApelORADEA
CHIFAN	GABRIEL	CurteadeApelORADEA
CONDROVICI	ADELA IRINA	CurteadeApelORADEA
FILIMON	MARCELA  OLIMPIA	CurteadeApelORADEA
GALEA	IRINA CARMEN	CurteadeApelORADEA
GALES	MARIA	CurteadeApelORADEA
HAIDU	DORINA - MIHAELA	CurteadeApelORADEA
MADUTA	DOINA - MARIANA	CurteadeApelORADEA
MARINESCU	SIMONA CATALINA	CurteadeApelORADEA
MOSINCAT	EUGENIA	CurteadeApelORADEA
ORBAN	CLAUDIA-CARMEN	CurteadeApelORADEA
PANTEA	VIOREL	CurteadeApelORADEA
PATRAUS	ELVIRA MIHAELA	CurteadeApelORADEA
POPA	AURORA	CurteadeApelORADEA
POPOVICI	CORINA RODICA	CurteadeApelORADEA
PUSCAS	MIRCEA	CurteadeApelORADEA
ROMAN	FLORICA	CurteadeApelORADEA
RUS	CLAUDIA FLORINA	CurteadeApelORADEA
SOANE	LAURA MIHAELA	CurteadeApelORADEA
SOTOC	DANIELA -STEFANIA	CurteadeApelORADEA
STAN	AURELIA LENUTA	CurteadeApelORADEA
TARCA	GABRIELA ANA	CurteadeApelORADEA
TATAR	IOANA DINA	CurteadeApelORADEA
TITERLEA	ALINA DANIELA	CurteadeApelORADEA
TOADER	FELICIA DOINA	CurteadeApelORADEA
TRIF	DOINA	CurteadeApelORADEA
VĂSONAN	ALIN	CurteadeApelORADEA
VIDICAN	DENISA DANIELA	CurteadeApelORADEA
BOCHIS	DOREL	TribunalulBIHOR
BOTEA	NADIA  DANA	TribunalulBIHOR
BULZ	LUCREŢIA JULIETA CLAUDIA ANEE MARI	TribunalulBIHOR
CHIRIAC	ADRIANA AURELIA	TribunalulBIHOR
CIOFLAN	ADINA CLAUDIA	TribunalulBIHOR
COMŞA	DIANA-ANCA	TribunalulBIHOR
CRIŞAN	FLORINA-IULIANA	TribunalulBIHOR
CUC	RALUCA BEATRIX	TribunalulBIHOR
DOMOCOŞ	CARMEN ADRIANA 	TribunalulBIHOR
DOSEANU	LOREDANA STELIANA	TribunalulBIHOR
ERDEI	DANA VERONICA	TribunalulBIHOR
FILIMON	FLORIN IOAN	TribunalulBIHOR
GALEA	OVIDIU DANIEL	TribunalulBIHOR
JURJUT-LAZAR	DANIELA MIHAELA	TribunalulBIHOR
MANOLIU	CONSTANTIN	TribunalulBIHOR
MIREA	LORELEY EMSE	TribunalulBIHOR
MOCIRAN	FLORINA -CARMEN	TribunalulBIHOR
MONENCI	IOAN - CRISTIAN	TribunalulBIHOR
MUNTEAN	CRINA ELENA	TribunalulBIHOR
MUSTA 	OVIDIU PETRU	TribunalulBIHOR
OLAH	IONEL	TribunalulBIHOR
POPESCU	ANCA RALUCA	TribunalulBIHOR
RIMILI	MARIA-CECILIA	TribunalulBIHOR
ROSU	DORINELA	TribunalulBIHOR
SABAU	CALIN- TRAIAN	TribunalulBIHOR
STANCE	MARIA	TribunalulBIHOR
TOD	ANGELA	TribunalulBIHOR
TODORUŢ	NICOLAE CRISTIAN	TribunalulBIHOR
TOTU	CRISTINA	TribunalulBIHOR
UNGUR	OTILIA MONICA	TribunalulBIHOR
VARGA	IREN	TribunalulBIHOR
STANCIU	CLAUDIA - MARIA	TribunalulBIHOR
BALOGH	TEODORA - CARMEN	JudecatoriaORADEA
BENDEA	LORIN OVIDIU	JudecatoriaORADEA
BERINDEI	OLIMPIU DANIEL	JudecatoriaORADEA
BERTEA	MARIA ELENA	JudecatoriaORADEA
BUZ	ADRIAN DANIEL	JudecatoriaORADEA
CHIRIAC	SORIN VICTOR	JudecatoriaORADEA
CIUMA	OVIDIU GEORGE	JudecatoriaORADEA
CRACIUN	CRENGUTA JULIETA	JudecatoriaORADEA
DĂNILEŢ	VASILICĂ CRISTI	JudecatoriaORADEA
FLOREA	CORINA MARIA	JudecatoriaORADEA
GAVRA	CORINA MARILENA	JudecatoriaORADEA
GHERMAN	NATALIA – MONICA - LAURA	JudecatoriaORADEA
GLIGOR	LAURA	JudecatoriaORADEA
HAMBĂRAŞ	CIPRIAN	JudecatoriaORADEA
HARJA	RADU CIPRIAN	JudecatoriaORADEA
HULEA	RADU CĂTĂLIN	JudecatoriaORADEA
KEGYES	MONIKA	JudecatoriaORADEA
IAVORSCHI	FLORENTINA	JudecatoriaORADEA
ILISIE	MARIANA	JudecatoriaORADEA
IOVANOVICS	ENIKO SILVIA	JudecatoriaORADEA
MIRON	CARMEN GABRIELA	JudecatoriaORADEA
POP	PATRICIA SORANA FLORINA	JudecatoriaORADEA
POPA 	FLORIN VIOREL	JudecatoriaORADEA
POPOVICI	MONICA	JudecatoriaORADEA
RACOLTA	IOAN MARIAN	JudecatoriaORADEA
RADOCĂ	NICOLETA	JudecatoriaORADEA
RUGINĂ 	OANA ELENA	JudecatoriaORADEA
SECARA	MARIANA	JudecatoriaORADEA
ŞERBAN	RAREŞ VASILE	JudecatoriaORADEA
TEANA	MARCELA DANIELA	JudecatoriaORADEA
TIMIŞ	IOAN	JudecatoriaORADEA
UDROIU – LUCIAN	DELIA	JudecatoriaORADEA
URSU	LAURA CORNELIA	JudecatoriaORADEA
VERDEŞ	MARIA	JudecatoriaORADEA
CAPOTA	MARIUS PAVEL	JudecatoriaBEIUS
ENACHE	VIRGINIA STELLA	JudecatoriaBEIUS
GAVRILA	ANCUTA FLORIANA	JudecatoriaBEIUS
MARTA	CRISTINA OANA	JudecatoriaBEIUS
MICLO	IOANA -FLORENTINA	JudecatoriaBEIUS
POP	ANA - MARIA	JudecatoriaBEIUS
TAU	VASILE	JudecatoriaBEIUS
BOZGA	MARIAN	JudecatoriaMARGHITA
BURLE	MIRCEA	JudecatoriaMARGHITA
GAL	IOAN	JudecatoriaMARGHITA
GRUESCU	MARIA	JudecatoriaMARGHITA
MARIAN	VLAD VALENTIN	JudecatoriaMARGHITA
ONIŢA	DELIA - ANCA	JudecatoriaMARGHITA
CIOARA	ADRIAN - CRISTIAN	JudecatoriaALESD
CIPLEU	ANCA DIANA	JudecatoriaALESD
DUDAS	IOANA- LUMINITA	JudecatoriaALESD
IONESCU	LIANA MARCELA	JudecatoriaALESD
VINKA	ELENA CORINA	JudecatoriaALESD
ARDELEAN	LIVIU PETRU	JudecatoriaSALONTA
BOGDAN	GEORGE IONUŢ	JudecatoriaSALONTA
BRATU	CORINA	JudecatoriaSALONTA
URSUŢ	GABRIELA	JudecatoriaSALONTA
URSUŢA DARABAN	ELENA	JudecatoriaSALONTA
BOLDUT	GHEORGHE TEOFIL	TribunalulSATUMARE
CADAR	RAMONA MARIA ELENA	TribunalulSATUMARE
CIORCAS	MIHAI	TribunalulSATUMARE
DRAGOŞ	ADELA	TribunalulSATUMARE
DUŢULESCU	MIHAELA	TribunalulSATUMARE
GROSOS MAXIM	RODICA	TribunalulSATUMARE
HAIDUC 	SIMONA MANUELA	TribunalulSATUMARE
KISS	ZITA	TribunalulSATUMARE
MICLE	LAURA ISABELLA	TribunalulSATUMARE
MIHAI COMAN	GELU	TribunalulSATUMARE
MIHAI COMAN	ILEANA	TribunalulSATUMARE
MUREŞAN	CARDONEL FELIX	TribunalulSATUMARE
NEMES	REMUS VASILE	TribunalulSATUMARE
PREDA-TARNOVEANU	CAMELIA NILDA	TribunalulSATUMARE
ROSIORU	EUGEN	TribunalulSATUMARE
RUBA	MARIA GEORGETA	TribunalulSATUMARE
SALAJAN	MARTA RITA	TribunalulSATUMARE
STEFAN	PAULA-GABRIELA	TribunalulSATUMARE
SUCEVEANU	GABRIELA DIANA	TribunalulSATUMARE
TODOR	TAMAS	TribunalulSATUMARE
VÎLCU	ADRIANA MARIANA	TribunalulSATUMARE
BOLDIŞOR	MARIANA CARMEN	JudecatoriaSATUMARE
BRANDUSAN	DORINA MARINELA	JudecatoriaSATUMARE
COJOCARIU	DANA GIGLIOLA	JudecatoriaSATUMARE
COSTE PALINCAŞ	SIMONA ALINA	JudecatoriaSATUMARE
DONKA	ENIKO EVA	JudecatoriaSATUMARE
FROICU	DIANA	JudecatoriaSATUMARE
HOTCA	CRINA CORINA	JudecatoriaSATUMARE
MINCĂ	DIANA ELIZA	JudecatoriaSATUMARE
MORARU	CRISTIAN	JudecatoriaSATUMARE
NEAGOE	CORINA DIANA	JudecatoriaSATUMARE
OPRESCU	NADEJDA	JudecatoriaSATUMARE
PETER	EUGEN MARIUS	JudecatoriaSATUMARE
PETRE	ANAMARIA	JudecatoriaSATUMARE
POP	CAMELIA ANA	JudecatoriaSATUMARE
SALAGEAN	MONICA CORINA	JudecatoriaSATUMARE
SCRIDON	ANA-MARIA	JudecatoriaSATUMARE
SOPONAR	SIMONA – ADRIANA - ELENA	JudecatoriaSATUMARE
SURD	GRIGORE	JudecatoriaSATUMARE
TRIP	MARIA MAGDALENA	JudecatoriaSATUMARE
ZBONA	CLAUDIU - ADRIAN	JudecatoriaSATUMARE
ADOMNIŢEI	COSMIN	JudecatoriaCAREI
ARDELEAN	ANGHEL GHEORGHE	JudecatoriaCAREI
COSTASI	SIMONA MINODORA	JudecatoriaCAREI
STROESCU	CRISTINA-ANTOANETA	JudecatoriaCAREI
TENTER	IOAN RADU	JudecatoriaCAREI
CÂRSTEA	FLORIN	JudecatoriaNEGRESTIOAS
CIORBA	ADRIAN OVIDIU SIMION	JudecatoriaNEGRESTIOAS
ENE SOLOMCIUC	FLORIN CRISTIAN	JudecatoriaNEGRESTIOAS
MOIS	MARIA	JudecatoriaNEGRESTIOAS
ACHIM	GINA	CurteadeApelPITESTI
ANDREESCU	MARIUS	CurteadeApelPITESTI
ANDREI	FLORINA	CurteadeApelPITESTI
BATRANU	IOANA	CurteadeApelPITESTI
BĂDESCU	VERONICA	CurteadeApelPITESTI
CHIORNITA	GABRIELA DORINA	CurteadeApelPITESTI
CIORASCU 	FLORINITA	CurteadeApelPITESTI
COCULESCU	ANA MARIA	CurteadeApelPITESTI
COTOVANU	PAULA ANDRADA	CurteadeApelPITESTI
DIACONU	DUMITRU	CurteadeApelPITESTI
DIACONU	GHEORGHE	CurteadeApelPITESTI
DINESCU	ANAMARIA LAURA	CurteadeApelPITESTI
DUMITRACHE	JEANA	CurteadeApelPITESTI
DUTESCU	CONSTANTINA	CurteadeApelPITESTI
GHEORGHE - SORESCU	TEODORA	CurteadeApelPITESTI
IONIŢĂ 	LAURA	CurteadeApelPITESTI
MERCAN	DORU	CurteadeApelPITESTI
MIRITA	IOANA	CurteadeApelPITESTI
NANU	GHEORGHITA	CurteadeApelPITESTI
NUTA	GEORGETA CORINA	CurteadeApelPITESTI
PĂŞTIN	NICOLETA SIMONA	CurteadeApelPITESTI
PINCU   IFRIM	CORINA	CurteadeApelPITESTI
PLUTEANU	ANDA MIHAELA	CurteadeApelPITESTI
RADU	DANIEL	CurteadeApelPITESTI
REBECA	ION	CurteadeApelPITESTI
RUSU	ELENA MINODORA	CurteadeApelPITESTI
SANDULESCU	MARIUS GABRIEL	CurteadeApelPITESTI
ŞIMONESCU – DIACONU	RALUCA ELENA	CurteadeApelPITESTI
TABACU	ANDREEA ELENA	CurteadeApelPITESTI
TANASE	IRINA	CurteadeApelPITESTI
TERZEA	ANCA ANDREEA	CurteadeApelPITESTI
TOGAN	LICA	CurteadeApelPITESTI
TRANDAFIR	EMILIA RALUCA	CurteadeApelPITESTI
UNGUREANU	ELENA DIANA	CurteadeApelPITESTI
URSU	SANDA	CurteadeApelPITESTI
VOICU	CORINA	CurteadeApelPITESTI
ANTON	ELENA	TribunalulARGES
BADEA	MIHAELA	TribunalulARGES
BECK	CELLIA	TribunalulARGES
CALIN  EROS	ELENA MANUELA	TribunalulARGES
CAPITANESCU	NICOLETA IULIANA	TribunalulARGES
COMANECI   MOSNEANU	EMANUELA	TribunalulARGES
DANCIU	AURELIA	TribunalulARGES
DUMITRACHE  BABALIC	MARIANA  MIRELA	TribunalulARGES
DUMITRAŞCU	OLGA MIHAELA	TribunalulARGES
DUMITRESCU	MARINELA CORNELIA	TribunalulARGES
DUMITRESCU	MARIUS	TribunalulARGES
DUTA	ANETA	TribunalulARGES
FUNDĂTUREANU	IOAN	TribunalulARGES
GRIGORE	RALUCA	TribunalulARGES
IONIŢĂ	IONEL CRISTIAN	TribunalulARGES
LAZAR	IRINA MIHAELA	TribunalulARGES
LINŢA	ALEXANDRA	TribunalulARGES
MATEESCU	ALINA MIHAELA	TribunalulARGES
NĂSTASE	GABRIELA DIANA	TribunalulARGES
NEACŞA	IOANA - MIHAELA	TribunalulARGES
NEACSU	GHEORGHE	TribunalulARGES
PAPAIANOPOL	MAGDALENA VIORICA	TribunalulARGES
PARVU	IOANA	TribunalulARGES
POSTELNICESCU	MARIA CORINA	TribunalulARGES
PRUNARU	ANDREEA MONICA	TribunalulARGES
SACHELARIE	NIFON	TribunalulARGES
SOARE	PATRICEA LORELA	TribunalulARGES
TERZEA	VIOREL	TribunalulARGES
ŢÎNŢU	SONIA IONELA	TribunalulARGES
VIŞINOIU	RUXANDRA	TribunalulARGES
VÎRTOPEANU	VALERICA	TribunalulARGES
VÂRGĂ	MARIANA	TribunalulARGES
APOSTOL	GABRIEL	JudecatoriaPITESTI
APOSTOL	GABRIELA	JudecatoriaPITESTI
APOSTOLESCU	ALINA GABRIELA	JudecatoriaPITESTI
ARGEŞEANU	DUMITRU DANIEL	JudecatoriaPITESTI
BADICEANU	ILENUTA	JudecatoriaPITESTI
BARBULESCU	ELENA LUMINITA	JudecatoriaPITESTI
CAPLAN	ADRIANA	JudecatoriaPITESTI
DIACONU	ANDREEA CARMEN	JudecatoriaPITESTI
DUMBRAVĂ	ANA-MARIA	JudecatoriaPITESTI
DUMITRU	DUMITRU - DANIEL	JudecatoriaPITESTI
ENE	CORNELIA INGE	JudecatoriaPITESTI
FODOR	ELENA	JudecatoriaPITESTI
GRĂDINARIU	MARIA ALIS	JudecatoriaPITESTI
ION	IOANA CRISTINA	JudecatoriaPITESTI
IONESCU	GEORGETA	JudecatoriaPITESTI
IORDACHE	GABRIELA	JudecatoriaPITESTI
MERCAN	LIVIA MARIA	JudecatoriaPITESTI
MIHAI	ANCA ANAMARIA	JudecatoriaPITESTI
MITROFAN	FLORINA	JudecatoriaPITESTI
NEL	CĂTĂLINA 	JudecatoriaPITESTI
PÎRVU	ELENA-CAMELIA	JudecatoriaPITESTI
POPESCU 	LIVIA	JudecatoriaPITESTI
POPESCU	ADELA	JudecatoriaPITESTI
RADULESCU  	ANCA-GEORGIANA	JudecatoriaPITESTI
RUGEA (BĂLULESCU)	ANDREEA ROZALIA	JudecatoriaPITESTI
SCARLAT - COMANESCU	IONUT	JudecatoriaPITESTI
STAN	MIRCEA	JudecatoriaPITESTI
STANCU	DANA IULIANA	JudecatoriaPITESTI
STANCU	COSTIN ANDREI	JudecatoriaPITESTI
STOICESCU	MELANIA CRISTINA	JudecatoriaPITESTI
VIOREANU		JudecatoriaPITESTI
VOICESCU	FILOFTEIA	JudecatoriaPITESTI
AUSTRIANU	ELENA ALINA	JudecatoriaCAMPULUNG
